Producto;Precio;Imagen
Medallón de merluza rebozados 100 g.;$1.220,00;D:/python/scrapling/imagenes_productos_carrefour\Medallón de merluza rebozados 100 g_12.jpg
Hamburguesa congelada Carrefour 2 u.;$2.499,00;D:/python/scrapling/imagenes_productos_carrefour\Hamburguesa congelada Carrefour 2 u_13.jpg
Hamburguesas de pollo Granja tres Arroyos 166 g.;$3.500,00;D:/python/scrapling/imagenes_productos_carrefour\Hamburguesas de pollo Granja tres Arroyo_14.jpg
Medallones de pollo Lucchetti en bolsa 280 g;$5.309,00;D:/python/scrapling/imagenes_productos_carrefour\Medallones de pollo Lucchetti en bolsa 2_9.jpg
Medallón de carne Paty express en caja 4 uni;$5.955,00;D:/python/scrapling/imagenes_productos_carrefour\Medallón de carne Paty express en caja 4_4.jpg
Hamburguesa Carrefour Classic clásica 4 uni;$6.194,60;D:/python/scrapling/imagenes_productos_carrefour\Hamburguesa Carrefour Classic clásica 4 _15.jpg
Hamburguesa Paty clásico en caja 4 uni;$6.850,00;D:/python/scrapling/imagenes_productos_carrefour\Hamburguesa Paty clásico en caja 4 uni_1.jpg
Hamburguesa Swift clásica 4 u;$7.013,93;D:/python/scrapling/imagenes_productos_carrefour\Hamburguesa Swift clásica 4 u_8.jpg
Hamburguesa Paty 72 g. caja x 4 uni;$8.165,00;D:/python/scrapling/imagenes_productos_carrefour\Hamburguesa Paty 72 g caja x 4 uni_10.jpg
Hamburguesa de carne Unión ganadera 4 uni;$10.439,00;D:/python/scrapling/imagenes_productos_carrefour\Hamburguesa de carne Unión ganadera 4 un_5.jpg
