Producto;Precio;Imagen
Pulpa de Pera Pouch Zummy x 110 g.;$ 1.600;D:/python/scrapling/imagenes_productos_laanonima\Pulpa de Pera Pouch Zummy x 110 g.jpg
Pulpa Mix Frutal Pouch Zummy x 110 g.;$ 1.600;D:/python/scrapling/imagenes_productos_laanonima\Pulpa Mix Frutal Pouch Zummy x 110 g.jpg
Pulpa de Ciruela Desecada Pouch Zummy x 110 g.;$ 1.600;D:/python/scrapling/imagenes_productos_laanonima\Pulpa de Ciruela Desecada Pouch Zummy x .jpg
Pulpa de Manzana&Durazno Pouch Zummy x 110 g.;$ 1.600;D:/python/scrapling/imagenes_productos_laanonima\Pulpa de ManzanaDurazno Pouch Zummy x 11.jpg
Formula Lactea LV Advanced Etapa 1 Sancor Bebe x 200 cc.;$ 2.250;D:/python/scrapling/imagenes_productos_laanonima\Formula Lactea LV Advanced Etapa 1 Sanco.jpg
NESTUM® sabor Banana x 225gr;$ 7.400;D:/python/scrapling/imagenes_productos_laanonima\NESTUM sabor Banana x 225gr.jpg
NESTUM® Arroz x 225gr;$ 7.650;D:/python/scrapling/imagenes_productos_laanonima\NESTUM Arroz x 225gr.jpg
NIDO® 4 PREBIO 3 Leche en Polvo x 800gr;$ 20.350;D:/python/scrapling/imagenes_productos_laanonima\NIDO 4 PREBIO 3 Leche en Polvo x 800gr.jpg
NIDO® 3 PREBIO 1 Leche en Polvo x 800gr;$ 21.400;D:/python/scrapling/imagenes_productos_laanonima\NIDO 3 PREBIO 1 Leche en Polvo x 800gr.jpg
NAN® Optipro® 1 x 400gr;$ 26.500;D:/python/scrapling/imagenes_productos_laanonima\NAN Optipro 1 x 400gr.jpg
