Producto;Precio;Fecha;Imagen
Agua Nestlé Pureza Vital sin gas Botella 500cc x1;$ 1.332,00;2026-09-19 23:07:16;d:/proyecto_supermercados_paginaweb/images/laanonima\Agua_Nestlé_Pureza_Vital_sin_gas_Botella_500cc_x1.jpg
Agua Mineral sin gas Glaciar x 500 cc.;$ 1.592,00;2026-09-19 23:07:16;d:/proyecto_supermercados_paginaweb/images/laanonima\Agua_Mineral_sin_gas_Glaciar_x_500_cc.jpg
Agua Mineralizada Benedictino Sin Gas 500 Ml;$ 1.600;2026-09-19 23:07:16;d:/proyecto_supermercados_paginaweb/images/laanonima\Agua_Mineralizada_Benedictino_Sin_Gas_500_Ml.jpg
Agua Mineral sin gas Bonaqua x 500 cc.;$ 1.700;2026-09-19 23:07:16;d:/proyecto_supermercados_paginaweb/images/laanonima\Agua_Mineral_sin_gas_Bonaqua_x_500_cc.jpg
Agua Eco de los Andes sin gas Botella 850cc x1;$ 1.852,00;2026-09-19 23:07:16;d:/proyecto_supermercados_paginaweb/images/laanonima\Agua_Eco_de_los_Andes_sin_gas_Botella_850cc_x1.jpg
Agua S/ Gas Baja En Sodio Ser x 1,5 Lt.;$ 1.917,00;2026-09-19 23:07:16;d:/proyecto_supermercados_paginaweb/images/laanonima\Agua_S_Gas_Baja_En_Sodio_Ser_x_1,5_Lt.jpg
Agua Mineral sin Gas Villavicencio x 1500 cc.;$ 2.362,00;2026-09-19 23:07:16;d:/proyecto_supermercados_paginaweb/images/laanonima\Agua_Mineral_sin_Gas_Villavicencio_x_1500_cc.jpg
Agua Mineralizada Benedictino Sin Gas 1,5 Lt;$ 2.500;2026-09-19 23:07:16;d:/proyecto_supermercados_paginaweb/images/laanonima\Agua_Mineralizada_Benedictino_Sin_Gas_1,5_Lt.jpg
Agua Glaciar sin gas Botella 2Lt. x1;$ 2.632,00;2026-09-19 23:07:16;d:/proyecto_supermercados_paginaweb/images/laanonima\Agua_Glaciar_sin_gas_Botella_2Lt._x1.jpg
Agua Mineral s/Gas Bonaqua x 1,5 Lt.;$ 2.650;2026-09-19 23:07:16;d:/proyecto_supermercados_paginaweb/images/laanonima\Agua_Mineral_sGas_Bonaqua_x_1,5_Lt.jpg
