Producto;Precio;Fecha;Imagen
Ajo en Polvo Deshidratado Dos Anclas x 20 g.;$ 1.160,00;2026-07-19 12:19:43;d:/proyecto_supermercados_paginaweb/images/laanonima\Ajo_en_Polvo_Deshidratado_Dos_Anclas_x_20_g.jpg
Condimento para Pizza Dos Anclas x 25 g.;$ 1.240,00;2026-07-19 12:19:43;d:/proyecto_supermercados_paginaweb/images/laanonima\Condimento_para_Pizza_Dos_Anclas_x_25_g.jpg
Oregano Doy Pack Dos Anclas x 25 g.;$ 1.280,00;2026-07-19 12:19:43;d:/proyecto_supermercados_paginaweb/images/laanonima\Oregano_Doy_Pack_Dos_Anclas_x_25_g.jpg
Sal Fina Dos Anclas Estuche x 500 g.;$ 1.400,00;2026-07-19 12:19:43;d:/proyecto_supermercados_paginaweb/images/laanonima\Sal_Fina_Dos_Anclas_Estuche_x_500_g.jpg
Perejil Deshidratado Dos Anclas x 25 g.;$ 1.480,00;2026-07-19 12:19:43;d:/proyecto_supermercados_paginaweb/images/laanonima\Perejil_Deshidratado_Dos_Anclas_x_25_g.jpg
Ají Molido Dos Anclas x 50 g.;$ 1.800,00;2026-07-19 12:19:43;d:/proyecto_supermercados_paginaweb/images/laanonima\Ají_Molido_Dos_Anclas_x_50_g.jpg
Pimentón Seleccionado Dos Anclas x 50 g.;$ 1.920,00;2026-07-19 12:19:43;d:/proyecto_supermercados_paginaweb/images/laanonima\Pimentón_Seleccionado_Dos_Anclas_x_50_g.jpg
Provenzal Dos Anclas x 50 g.;$ 2.280,00;2026-07-19 12:19:43;d:/proyecto_supermercados_paginaweb/images/laanonima\Provenzal_Dos_Anclas_x_50_g.jpg
Sal Fina Paquete Dos Anclas x 500 g.;No disponible;2026-07-19 12:19:43;d:/proyecto_supermercados_paginaweb/images/laanonima\Sal_Fina_Paquete_Dos_Anclas_x_500_g.jpg
Sal Entrefina Paquete Dos Anclas x 500 g.;No disponible;2026-07-19 12:19:43;d:/proyecto_supermercados_paginaweb/images/laanonima\Sal_Entrefina_Paquete_Dos_Anclas_x_500_g.jpg
