Producto;Precio;Imagen
Polvo para preparar Salsa Blanca Dos Anclas x 40 g.;$ 840;D:/python/scrapling/imagenes_productos_laanonima\Polvo para preparar Salsa Blanca Dos Anc_0.jpg
Sal Gruesa Paquete Dos Anclas x 500 g.;$ 1.350;D:/python/scrapling/imagenes_productos_laanonima\Sal Gruesa Paquete Dos Anclas x 500 g_4.jpg
Sal Entrefina Paquete Dos Anclas x 500 g.;$ 1.350;D:/python/scrapling/imagenes_productos_laanonima\Sal Entrefina Paquete Dos Anclas x 500 g_9.jpg
Ajo en Polvo Deshidratado Dos Anclas x 20 g.;$ 1.400;D:/python/scrapling/imagenes_productos_laanonima\Ajo en Polvo Deshidratado Dos Anclas x 2_1.jpg
Condimento para Pizza Dos Anclas x 25 g.;$ 1.550;D:/python/scrapling/imagenes_productos_laanonima\Condimento para Pizza Dos Anclas x 25 g_2.jpg
Sal Fina Dos Anclas Estuche x 500 g.;$ 1.900;D:/python/scrapling/imagenes_productos_laanonima\Sal Fina Dos Anclas Estuche x 500 g_7.jpg
Pimienta Negra Molida Sobre Dos Anclas x 25 g.;$ 2.150;D:/python/scrapling/imagenes_productos_laanonima\Pimienta Negra Molida Sobre Dos Anclas x_11.jpg
Ají Molido Dos Anclas x 50 g.;$ 2.200;D:/python/scrapling/imagenes_productos_laanonima\Ají Molido Dos Anclas x 50 g_3.jpg
Sal Gruesa Paquete Dos Anclas x 1 Kg.;$ 2.600;D:/python/scrapling/imagenes_productos_laanonima\Sal Gruesa Paquete Dos Anclas x 1 Kg_5.jpg
Sal Entrefina Parrillera Estuche Dos Anclas x 1 Kg.;$ 2.600;D:/python/scrapling/imagenes_productos_laanonima\Sal Entrefina Parrillera Estuche Dos Anc_6.jpg
