Producto;Precio;Imagen
Frutilla X 250 Gr Alif Agro;$3.150;D:/python/scrapling/imagenes_productos_vea\Frutilla X 250 Gr Alif Agro_2.jpg
Mango En Cubos X 250 Gr Alif Agro;$3.450;D:/python/scrapling/imagenes_productos_vea\Mango En Cubos X 250 Gr Alif Agro_6.jpg
Arandano X 250 Gr Alif Agro;$4.850;D:/python/scrapling/imagenes_productos_vea\Arandano X 250 Gr Alif Agro_1.jpg
Mix Patagonico X 250 Gr Alif Agro;$5.650;D:/python/scrapling/imagenes_productos_vea\Mix Patagonico X 250 Gr Alif Agro_5.jpg
Arandanos Green Life X 300 Gr;$6.600;D:/python/scrapling/imagenes_productos_vea\Arandanos Green Life X 300 Gr_3.jpg
Frutillas Green Life 400g;$7.450;D:/python/scrapling/imagenes_productos_vea\Frutillas Green Life 400g_4.jpg
Frambuesa X 250 Gr Alif Agro;$8.650;D:/python/scrapling/imagenes_productos_vea\Frambuesa X 250 Gr Alif Agro_7.jpg
Mix 4 Berries Green Life 400g;$9.600;D:/python/scrapling/imagenes_productos_vea\Mix 4 Berries Green Life 400g_0.jpg
Frutilla X 1 Kg Alif Agro;$11.150;D:/python/scrapling/imagenes_productos_vea\Frutilla X 1 Kg Alif Agro_8.jpg
Frambuesas X400g Green Life;$14.300;D:/python/scrapling/imagenes_productos_vea\Frambuesas X400g Green Life_9.jpg
