Producto;Precio;Imagen
Salame Fuet Doina 150 Gr;$3.490;D:/python/scrapling/imagenes_productos_vea\Salame Fuet Doina 150 Gr_16.jpg
Jamón Cocido Linea Permi Paladini X 150 Gr;$5.090;D:/python/scrapling/imagenes_productos_vea\Jamón Cocido Linea Permi Paladini X 150 _2.jpg
Salame Sabor Salame Feteado 100 Grs Bocatti;$5.700;D:/python/scrapling/imagenes_productos_vea\Salame Sabor Salame Feteado 100 Grs Boca_3.jpg
Jamon Paladini Cocido Fetas Finas X 200 Gr;$6.290;D:/python/scrapling/imagenes_productos_vea\Jamon Paladini Cocido Fetas Finas X 200 _1.jpg
Jamón Cocido Bocatti Feteado 130 Gr;$6.625;D:/python/scrapling/imagenes_productos_vea\Jamón Cocido Bocatti Feteado 130 Gr_0.jpg
Trozos De Jamones X Kg;$10.900;D:/python/scrapling/imagenes_productos_vea\Trozos De Jamones X Kg_17.jpg
Fiambre De Cerdo Tripack X Kg;$10.970;D:/python/scrapling/imagenes_productos_vea\Fiambre De Cerdo Tripack X Kg_6.jpg
Jamón Cocido Tripack X Kg Jumbo;$14.900;D:/python/scrapling/imagenes_productos_vea\Jamón Cocido Tripack X Kg Jumbo_5.jpg
Fiambre de Paleta de Cerdo 200 Grs Campo Austral;$16.560;D:/python/scrapling/imagenes_productos_vea\Fiambre de Paleta de Cerdo 200 Grs Campo_9.jpg
Fiambre de Cerdo Fresco x 1 Kg Lario;$18.600;D:/python/scrapling/imagenes_productos_vea\Fiambre de Cerdo Fresco x 1 Kg Lario_13.jpg
