Producto;Precio;Imagen
Salchichas La Blanca 190 Gr;$1.200;D:/python/scrapling/imagenes_productos_vea\Salchichas La Blanca 190 Gr_12.jpg
Queso Reggianito Rallado 35 Grs x 1 Un La Serenisima;$1.208,2;D:/python/scrapling/imagenes_productos_vea\Queso Reggianito Rallado 35 Grs x 1 Un L_17.jpg
Queso Reggianito Rallado 40 Grs La Paulina;$1.295;D:/python/scrapling/imagenes_productos_vea\Queso Reggianito Rallado 40 Grs La Pauli_16.jpg
Salchichas Viena x 6 Un 225 Grs Granja Iris;$1.590;D:/python/scrapling/imagenes_productos_vea\Salchichas Viena x 6 Un 225 Grs Granja I_18.jpg
Salchichas Familiares x 6 Un 190 Grs Cuisine & Co;$1.885;D:/python/scrapling/imagenes_productos_vea\Salchichas Familiares x 6 Un 190 Grs Cui_11.jpg
Queso Crema Clásico Individual 0.290 Kg Cuisine y Co;$1.899;D:/python/scrapling/imagenes_productos_vea\Queso Crema Clásico Individual 0290 Kg C_3.jpg
Queso Crema Blanco 290 Grs La Serenísima Clásico;$2.499;D:/python/scrapling/imagenes_productos_vea\Queso Crema Blanco 290 Grs La Serenísima_1.jpg
Queso Crema Blanco x 290 Grs La Serenísima Clásico;$2.499;D:/python/scrapling/imagenes_productos_vea\Queso Crema Blanco x 290 Grs La Serenísi_6.jpg
Queso Untable Finlandia Clásico 290 Gr;$3.999;D:/python/scrapling/imagenes_productos_vea\Queso Untable Finlandia Clásico 290 Gr_19.jpg
Queso Rallado x 0.15 Kg La Paulina;$4.187,4;D:/python/scrapling/imagenes_productos_vea\Queso Rallado x 015 Kg La Paulina_8.jpg
