Producto;Precio;Imagen
Bebida Isotónica Sabor Mountain Blast 500 Ml Powerade;$1.500;D:/python/scrapling/imagenes_productos_vea\Bebida Isotónica Sabor Mountain Blast 50_0.jpg
Bebida Isotónica Sabor Frutas Tropicales 500 Cc Powerade;$1.500;D:/python/scrapling/imagenes_productos_vea\Bebida Isotónica Sabor Frutas Tropicales_1.jpg
Bebida Isotónica Sabor Manzana 500 Ml Powerade;$1.500;D:/python/scrapling/imagenes_productos_vea\Bebida Isotónica Sabor Manzana 500 Ml Po_2.jpg
Bebida Isotónica Sabor Uva 500 Ml Powerade;$1.500;D:/python/scrapling/imagenes_productos_vea\Bebida Isotónica Sabor Uva 500 Ml Powera_13.jpg
Bebida Isotónica Sabor Cool Blue 500 Ml Gatorade;$1.687,5;D:/python/scrapling/imagenes_productos_vea\Bebida Isotónica Sabor Cool Blue 500 Ml _8.jpg
Bebida Isotónica Sabor Manzana 500 Ml Gatorade;$1.687,5;D:/python/scrapling/imagenes_productos_vea\Bebida Isotónica Sabor Manzana 500 Ml Ga_10.jpg
Bebida Isotónica Sabor Naranja 500 Ml Gatorade;$1.687,5;D:/python/scrapling/imagenes_productos_vea\Bebida Isotónica Sabor Naranja 500 Ml Ga_14.jpg
Bebida Isotónica Sabor Uva 500 Ml Gatorade;$1.687,5;D:/python/scrapling/imagenes_productos_vea\Bebida Isotónica Sabor Uva 500 Ml Gatora_16.jpg
Bebida Isotónica Sabor Multifruta 500 Ml Full Sport;$1.800;D:/python/scrapling/imagenes_productos_vea\Bebida Isotónica Sabor Multifruta 500 Ml_17.jpg
Bebida Isotónica Manzana 500 Ml Full Sport;$1.800;D:/python/scrapling/imagenes_productos_vea\Bebida Isotónica Manzana 500 Ml Full Spo_19.jpg
