Producto;Precio;Imagen
Alimento para Perros Húmedo Sabor Carne Adultos 100 Grs Pet's Class;$1.200;D:/python/scrapling/imagenes_productos_vea\Alimento para Perros Húmedo Sabor Carne _11.jpg
Alimento para Perros Húmedo Sabor Pollo Adulto Razas Pequeñas 100 Grs Pedigree;$1.399;D:/python/scrapling/imagenes_productos_vea\Alimento para Perros Húmedo Sabor Pollo _3.jpg
Alimento para Perros Húmedo Sabor Carne Adulto Razas Pequeñas 100 Grs Pedigree;$1.399;D:/python/scrapling/imagenes_productos_vea\Alimento para Perros Húmedo Sabor Carne _4.jpg
Alimento para Perros Orgánico Sabor Carne, Pollo y Cerdo Adultos 1.5 Kg Sabrositos;$3.850;D:/python/scrapling/imagenes_productos_vea\Alimento para Perros Orgánico Sabor Carn_12.jpg
Alimento Dog Chow Alta Proteína 1 Kg;$5.100;D:/python/scrapling/imagenes_productos_vea\Alimento Dog Chow Alta Proteína 1 Kg_19.jpg
Snacks Dentastix Razas Mediano Cuidado Oral;$5.200;D:/python/scrapling/imagenes_productos_vea\Snacks Dentastix Razas Mediano Cuidado O_13.jpg
Alimento para Perros Seco Saborizado Adultos Medianos y Grandes 1,5 Kg Dog Chow;$5.500;D:/python/scrapling/imagenes_productos_vea\Alimento para Perros Seco Saborizado Adu_1.jpg
Alimento para Perros Seco Sabor Carnes, Cereales y Vegetales Cachorro 3 Kg Sabrositos;$8.750;D:/python/scrapling/imagenes_productos_vea\Alimento para Perros Seco Sabor Carnes C_17.jpg
Alimento para Perros Seco Saborizado Adultos 3 Kg Dogui;$9.650;D:/python/scrapling/imagenes_productos_vea\Alimento para Perros Seco Saborizado Adu_10.jpg
Alimento para Perros Seco Saborizado Adulto Mini y Pequeño 3 Kg Dog Chow;$13.050;D:/python/scrapling/imagenes_productos_vea\Alimento para Perros Seco Saborizado Adu_5.jpg
