Producto;Precio;Imagen
Copos De Maíz Azucarados 240 Grs Cuisine & Co;$1.365;D:/python/scrapling/imagenes_productos_vea\Copos De Maíz Azucarados 240 Grs Cuisine_11.jpg
Copos De Maiz 150 Grs Cuisine & Co;$1.550;D:/python/scrapling/imagenes_productos_vea\Copos De Maiz 150 Grs Cuisine  Co_9.jpg
Barra De Avena Caju Y Arándanos 41 Gr Integra;$1.700;D:/python/scrapling/imagenes_productos_vea\Barra De Avena Caju Y Arándanos 41 Gr In_14.jpg
Barra Sin Tacc Semillas Arandanos 38 Gr Integra;$1.750;D:/python/scrapling/imagenes_productos_vea\Barra Sin Tacc Semillas Arandanos 38 Gr _19.jpg
Barra De Cereal Cacao 45 Gr Muecas;$1.800;D:/python/scrapling/imagenes_productos_vea\Barra De Cereal Cacao 45 Gr Muecas_2.jpg
Barra De Cereal Banana 45 Gr Muecas;$1.800;D:/python/scrapling/imagenes_productos_vea\Barra De Cereal Banana 45 Gr Muecas_5.jpg
Copos De Maíz Granix Skarchitos 240 Gr;$2.100;D:/python/scrapling/imagenes_productos_vea\Copos De Maíz Granix Skarchitos 240 Gr_6.jpg
Barra Proteica Mani Chocolate 45 Gr Integra;$2.300;D:/python/scrapling/imagenes_productos_vea\Barra Proteica Mani Chocolate 45 Gr Inte_0.jpg
Barra Proteica Pasta De Mani Arandanos 43 Gr Integra;$2.300;D:/python/scrapling/imagenes_productos_vea\Barra Proteica Pasta De Mani Arandanos 4_1.jpg
Bolitas De Chocolate Rock´n Chock Sin Tacc 200 Grs Cuisine & Co;$2.300;D:/python/scrapling/imagenes_productos_vea\Bolitas De Chocolate Rockn Chock Sin Tac_16.jpg
