Producto;Precio;Imagen
Pollo Congelado Con Menudos;$3.999;D:/python/scrapling/imagenes_productos_vea\Pollo Congelado Con Menudos_2.jpg
Pollo Parrillero;$3.999,2;D:/python/scrapling/imagenes_productos_vea\Pollo Parrillero_7.jpg
Pollo Fresco Con Menudos;$4.299;D:/python/scrapling/imagenes_productos_vea\Pollo Fresco Con Menudos_3.jpg
Cuarto Trasero De Pollo Granel Fresco;$4.399;D:/python/scrapling/imagenes_productos_vea\Cuarto Trasero De Pollo Granel Fresco_1.jpg
Muslo De Pollo;$5.359,2;D:/python/scrapling/imagenes_productos_vea\Muslo De Pollo_5.jpg
Pata De Pollo;$6.399,2;D:/python/scrapling/imagenes_productos_vea\Pata De Pollo_4.jpg
Suprema De Pollo Granel Fresca;$9.899;D:/python/scrapling/imagenes_productos_vea\Suprema De Pollo Granel Fresca_0.jpg
Muslo De Pollo Cristal;$12.299;D:/python/scrapling/imagenes_productos_vea\Muslo De Pollo Cristal_9.jpg
Pata De Pollo Cristal;$13.299;D:/python/scrapling/imagenes_productos_vea\Pata De Pollo Cristal_8.jpg
Pavita Sadia X Kg;$13.749;D:/python/scrapling/imagenes_productos_vea\Pavita Sadia X Kg_6.jpg
