Producto;Precio;Imagen
ISOTONICA UP GRADE BLUEBERRY 750 CC;$843,60;d:/python/scrapling/imagenes_productos_maxiconsumo\ISOTONICA UP GRADE BLUEBERRY 750 CC.jpg
ISOTONICA UP GRADE FRUTOS ROJOS 750 CC;$843,60;d:/python/scrapling/imagenes_productos_maxiconsumo\ISOTONICA UP GRADE FRUTOS ROJOS 750 CC.jpg
ISOTONICA UP GRADE MANZANA 750 C;$843,60;d:/python/scrapling/imagenes_productos_maxiconsumo\ISOTONICA UP GRADE MANZANA 750 C.jpg
ISOTONICA POWERADE MANZANA PET 500 CC;$1.049,90;d:/python/scrapling/imagenes_productos_maxiconsumo\ISOTONICA POWERADE MANZANA PET 500 CC.jpg
ISOTONICA GATORADE NARANJA PET 500 CC;$1.399,90;d:/python/scrapling/imagenes_productos_maxiconsumo\ISOTONICA GATORADE NARANJA PET 500 CC.jpg
ISOTONICA GATORADE MANZANA PET 500 CC;$1.399,90;d:/python/scrapling/imagenes_productos_maxiconsumo\ISOTONICA GATORADE MANZANA PET 500 CC.jpg
ISOTONICA GATORADE FRUTOS TROPICALES 750 CC;$1.499,90;d:/python/scrapling/imagenes_productos_maxiconsumo\ISOTONICA GATORADE FRUTOS TROPICALES 750.jpg
ISOTONICA POWERADE MANZANA PET 995 CC;$1.499,90;d:/python/scrapling/imagenes_productos_maxiconsumo\ISOTONICA POWERADE MANZANA PET 995 CC.jpg
ISOTONICA POWERADE MOUNTAIN BLAST PET 995 CC;$1.499,90;d:/python/scrapling/imagenes_productos_maxiconsumo\ISOTONICA POWERADE MOUNTAIN BLAST PET 99.jpg
ISOTONICA GATORADE COOL BLUE PET 750 CC;$1.499,90;d:/python/scrapling/imagenes_productos_maxiconsumo\ISOTONICA GATORADE COOL BLUE PET 750 CC.jpg
