Producto;Precio;Imagen
ALIMENTO PARA PERROS PETS CLASS PERRO ADULTOS CARNE 100 GR;$729,90;d:/python/scrapling/imagenes_productos_maxiconsumo\ALIMENTO PARA PERROS PETS CLASS PERRO AD.jpg
ALIMENTO PARA PERROS PETS CLASS CACHORROS POLLO Y LECHE 85 GR;$729,90;d:/python/scrapling/imagenes_productos_maxiconsumo\ALIMENTO PARA PERROS PETS CLASS CACHORRO.jpg
ALIMENTO PARA PERROS PETS CLASS ADULTOS POLLO 100 GR;$729,90;d:/python/scrapling/imagenes_productos_maxiconsumo\ALIMENTO PARA PERROS PETS CLASS ADULTOS .jpg
ALIMENTO PARA PERROS PEDIGREE ADULTOS POLLO 100 GR;$999,90;d:/python/scrapling/imagenes_productos_maxiconsumo\ALIMENTO PARA PERROS PEDIGREE ADULTOS PO.jpg
ALIMENTO PARA ANIMALES PEDIGREE POUCH RAZAS PEQUEÑAS CARNE 100 gr;$1.099,89;d:/python/scrapling/imagenes_productos_maxiconsumo\ALIMENTO PARA ANIMALES PEDIGREE POUCH RA.jpg
ALIMENTO PARA ANIMALES PEDIGREE POUCH RAZAS PEQUEÑAS POLLO 100 gr;$1.099,89;d:/python/scrapling/imagenes_productos_maxiconsumo\ALIMENTO PARA ANIMALES PEDIGREE POUCH RA.jpg
ALIMENTO PARA PERROS PEDIGREE POUCH CARNE ADULTO 100 GR;$1.099,89;d:/python/scrapling/imagenes_productos_maxiconsumo\ALIMENTO PARA PERROS PEDIGREE POUCH CARN.jpg
ALIMENTO PARA PERROS PEDIGREE POUCH CACHORRO 85 GR;$1.099,89;d:/python/scrapling/imagenes_productos_maxiconsumo\ALIMENTO PARA PERROS PEDIGREE POUCH CACH.jpg
ALIMENTO PARA PERROS DOG CHOW ADULTOS SALMON 100 GR;$1.199,90;d:/python/scrapling/imagenes_productos_maxiconsumo\ALIMENTO PARA PERROS DOG CHOW ADULTOS SA.jpg
ALIMENTO PARA PERROS DOG CHOW ADULTOS PAVO 100 GR;$1.199,90;d:/python/scrapling/imagenes_productos_maxiconsumo\ALIMENTO PARA PERROS DOG CHOW ADULTOS PA.jpg
