Producto;Precio;Imagen
APERITIVO FERCHO FERNET-COCA 1 LT;$699,91;d:/python/scrapling/imagenes_productos_maxiconsumo\APERITIVO FERCHO FERNET-COCA 1 LT.jpg
FERNET BRANCA MINI 5 CC;$2.999,88;d:/python/scrapling/imagenes_productos_maxiconsumo\FERNET BRANCA MINI 5 CC.jpg
FERNET CAPRI 750 CC;$3.599,90;d:/python/scrapling/imagenes_productos_maxiconsumo\FERNET CAPRI 750 CC.jpg
FERNET 1882 450 CC;$5.499,89;d:/python/scrapling/imagenes_productos_maxiconsumo\FERNET 1882 450 CC.jpg
FERNET 1882 750 CC;$6.999,90;d:/python/scrapling/imagenes_productos_maxiconsumo\FERNET 1882 750 CC.jpg
FERNET BUHERO 700 ML;$7.499,90;d:/python/scrapling/imagenes_productos_maxiconsumo\FERNET BUHERO 700 ML.jpg
FERNET 1882 1.008 LT;$7.999,90;d:/python/scrapling/imagenes_productos_maxiconsumo\FERNET 1882 1008 LT.jpg
FERNET BRANCA MENTA 450 CC;$10.899,89;d:/python/scrapling/imagenes_productos_maxiconsumo\FERNET BRANCA MENTA 450 CC.jpg
FERNET BRANCA 750 CC;$16.499,89;d:/python/scrapling/imagenes_productos_maxiconsumo\FERNET BRANCA 750 CC.jpg
FERNET BRANCA 1 LT;$21.899,89;d:/python/scrapling/imagenes_productos_maxiconsumo\FERNET BRANCA 1 LT.jpg
