Producto;Precio;Imagen
ALIMENTO PARA ANIMALES PEDIGREE DENTA STIX RAZAS MEDIANAS;$799,89;d:/python/scrapling/imagenes_productos_maxiconsumo\ALIMENTO PARA ANIMALES PEDIGREE DENTA ST.jpg
ALIMENTO PARA PERROS PETS CLASS PERRO ADULTOS CARNE 100 GR;$899,89;d:/python/scrapling/imagenes_productos_maxiconsumo\ALIMENTO PARA PERROS PETS CLASS PERRO AD.jpg
ALIMENTO PARA PERROS PETS CLASS CACHORROS POLLO Y LECHE 85 GR;$899,89;d:/python/scrapling/imagenes_productos_maxiconsumo\ALIMENTO PARA PERROS PETS CLASS CACHORRO.jpg
ALIMENTO PARA PERROS PETS CLASS ADULTOS POLLO 100 GR;$899,89;d:/python/scrapling/imagenes_productos_maxiconsumo\ALIMENTO PARA PERROS PETS CLASS ADULTOS .jpg
ALIMENTO PARA ANIMALES PEDIGREE POUCH RAZAS PEQUEÑAS CARNE 100 gr;$1.099,89;d:/python/scrapling/imagenes_productos_maxiconsumo\ALIMENTO PARA ANIMALES PEDIGREE POUCH RA.jpg
ALIMENTO PARA ANIMALES PEDIGREE POUCH RAZAS PEQUEÑAS POLLO 100 gr;$1.099,89;d:/python/scrapling/imagenes_productos_maxiconsumo\ALIMENTO PARA ANIMALES PEDIGREE POUCH RA.jpg
ALIMENTO PARA PERROS PEDIGREE POUCH CARNE ADULTO 100 GR;$1.099,89;d:/python/scrapling/imagenes_productos_maxiconsumo\ALIMENTO PARA PERROS PEDIGREE POUCH CARN.jpg
ALIMENTO PARA PERROS PEDIGREE POUCH CACHORRO 85 GR;$1.099,89;d:/python/scrapling/imagenes_productos_maxiconsumo\ALIMENTO PARA PERROS PEDIGREE POUCH CACH.jpg
ALIMENTO PARA ANIMALES PEDIGREE BOCADITOS BISCROK 100 gr;$1.299,89;d:/python/scrapling/imagenes_productos_maxiconsumo\ALIMENTO PARA ANIMALES PEDIGREE BOCADITO.jpg
ALIMENTO PARA PERROS PEDIGREE TASTY BITES 80 GR;$1.999,90;d:/python/scrapling/imagenes_productos_maxiconsumo\ALIMENTO PARA PERROS PEDIGREE TASTY BITE.jpg
